Original Name,Test Case Name,Test Type,Label,Bridger Score
IRAN HORMUZ 14,IRAN HORMUZ 14,Exact Match,Match,100
"SAMOKUTYAEV, Alexander Mikhaylovich","SAMOKUTYAEV, Alexander Mikhaylovich",Exact Match,Match,100
ANSAR AL-SHARI'A IN TUNISIA,ANSAR AL-SHARI'A IN TUNISIA,Exact Match,Match,100
"PONOMARYOV, Vyacheslav","PONOMARYOV, Vyacheslav",Exact Match,Match,100
IRAN PARAK,IRAN PARAK,Exact Match,Match,100
"VALENZUELA VALENZUELA, Juan Francisco","VALENZUELA VALENZUELA, Juan Francisco",Exact Match,Match,100
INDUSTRIAL MINERA Y PECUARIA S.A.,INDUSTRIAL MINERA Y PECUARIA S.A.,Exact Match,Match,100
OOO ALKON,OOO ALKON,Exact Match,Match,100
JOINT STOCK COMPANY INVESTTRADEBANK,JOINT STOCK COMPANY INVESTTRADEBANK,Exact Match,Match,100
"BASEVIC, Dragan","BASEVIC, Dragan",Exact Match,Match,100
LIMITED LIABILITY COMPANY SBERBANK REAL ESTATE CENTER,LIMITED LIABILITY COMPANY SBERBANK REAL ESTATE CENTER,Exact Match,Match,100
EP-ITA,EP-ITA,Exact Match,Match,100
EIRIN FARM,EIRIN FARM,Exact Match,Match,100
HASSAN AYASH EXCHANGE COMPANY,HASSAN AYASH EXCHANGE COMPANY,Exact Match,Match,100
UR-CKX,UR-CKX,Exact Match,Match,100
HAPJANGGANG TRADING CORPORATION,HAPJANGGANG TRADING CORPORATION,Exact Match,Match,100
"KOSTENKO, Elena Nikolaevna","KOSTENKO, Elena Nikolaevna",Exact Match,Match,100
TRUST INSURANCE SERVICES S.A.L.,TRUST INSURANCE SERVICES S.A.L.,Exact Match,Match,100
"AL-ASSAF, Safwan","AL-ASSAF, Safwan",Exact Match,Match,100
"MAKSIMENKO, Vladimir Ilich","MAKSIMENKO, Vladimir Ilich",Exact Match,Match,100
ORANGE VOLUNTEERS,ORANGE VOLUNTEERS,Exact Match,Match,100
"CASTRO RIVERA, Edwin Ramon","CASTRO RIVERA, Edwin Ramon",Exact Match,Match,100
"PIVNENKO, Valentina Nikolayevna","PIVNENKO, Valentina Nikolayevna",Exact Match,Match,100
MU DU BONG,MU DU BONG,Exact Match,Match,100
EP-MNR,EP-MNR,Exact Match,Match,100
"YUSUF, Isse Mohamoud","YUSUF, Isse Mohamoud",Exact Match,Match,100
"FRENZEL, Conrado Adolfo","FRENZEL, Conrado Adolfo",Exact Match,Match,100
GLOBOVISION TELE C.A.,GLOBOVISION TELE C.A.,Exact Match,Match,100
PRESS SUPERVISORY BOARD,PRESS SUPERVISORY BOARD,Exact Match,Match,100
"COMERCIALIZADORA TRADE CLEAR, S.A. DE C.V.","COMERCIALIZADORA TRADE CLEAR, S.A. DE C.V.",Exact Match,Match,100
"HYON, Gwang Il","HYON, Gwang Il",Exact Match,Match,100
"TAJIDEEN, Husayn","TAJIDEEN, Husayn",Exact Match,Match,100
OT-2077,OT-2077,Exact Match,Match,100
SHABGOUN,SHABGOUN,Exact Match,Match,100
"OLIVAS OJEDA, Juan Carlos","OLIVAS OJEDA, Juan Carlos",Exact Match,Match,100
"HILALI, Muhammad Jalal","HILALI, Muhammad Jalal",Exact Match,Match,100
"AL-HARZI, Tariq Bin-Al-Tahar Bin Al Falih Al-'Awni","AL-HARZI, Tariq Bin-Al-Tahar Bin Al Falih Al-'Awni",Exact Match,Match,100
"LIBRE ABORDO, S.A. DE C.V.","LIBRE ABORDO, S.A. DE C.V.",Exact Match,Match,100
"ERDOGAN, Emrah","ERDOGAN, Emrah",Exact Match,Match,100
SEPID SHIPPING COMPANY LIMITED,SEPID SHIPPING COMPANY LIMITED,Exact Match,Match,100
LIMITED LIABILITY COMPANY INFRASTRUCTURE PROJECTS MANAGEMENT COMPANY,LIMITED LIABILITY COMPANY INFRASTRUCTURE PROJECTS MANAGEMENT COMPANY,Exact Match,Match,100
SANOVERA PHARM COMPANY SARL,SANOVERA PHARM COMPANY SARL,Exact Match,Match,100
"KOSHLAF, Mohamed","KOSHLAF, Mohamed",Exact Match,Match,100
"SAMAYOA MONTEJO, Roger Antulio","SAMAYOA MONTEJO, Roger Antulio",Exact Match,Match,100
"SANCHEZ NOLASCO, Boarnerges","SANCHEZ NOLASCO, Boarnerges",Exact Match,Match,100
HERCULES INTERNATIONAL SHIP,HERCULES INTERNATIONAL SHIP,Exact Match,Match,100
"MATHEMA, Cain","MATHEMA, Cain",Exact Match,Match,100
SHAHBAZ KHAN GENERAL TRADING LLC,SHAHBAZ KHAN GENERAL TRADING LLC,Exact Match,Match,100
"AL-KUBAYSI, Ugla Abid Saqar","AL-KUBAYSI, Ugla Abid Saqar",Exact Match,Match,100
JOINT STOCK COMPANY ELEMENT,JOINT STOCK COMPANY ELEMENT,Exact Match,Match,100
"VASILIEV, Vladimir Abdualievich","VASILIEV, Vladimir Abdualievich",Exact Match,Match,100
"CHANG, Myong-Chin","CHANG, Myong-Chin",Exact Match,Match,100
PAO ROSGOSSTRAKH BANK,PAO ROSGOSSTRAKH BANK,Exact Match,Match,100
CLOSED JOINT STOCK COMPANY ABSOLUTBANK,CLOSED JOINT STOCK COMPANY ABSOLUTBANK,Exact Match,Match,100
EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL,EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL,Exact Match,Match,100
YV2726,YV2726,Exact Match,Match,100
"LEVCHENKO, Sergey Georgiyevich","LEVCHENKO, Sergey Georgiyevich",Exact Match,Match,100
"MIRZABEYGI, Milad","MIRZABEYGI, Milad",Exact Match,Match,100
LAND METICS SARL,LAND METICS SARL,Exact Match,Match,100
AVIA GROUP TERMINAL LIMITED LIABILITY COMPANY,AVIA GROUP TERMINAL LIMITED LIABILITY COMPANY,Exact Match,Match,100
"JON, Hana Paul","JON, Hana Paul",Exact Match,Match,100
"LOBACH, Tatyana Georgiyevna","LOBACH, Tatyana Georgiyevna",Exact Match,Match,100
"AL ASIRI, Ahmad Hassan Mohammed","AL ASIRI, Ahmad Hassan Mohammed",Exact Match,Match,100
"KIM, Min Chol","KIM, Min Chol",Exact Match,Match,100
"AL-ASSAD, Manal","AL-ASSAD, Manal",Exact Match,Match,100
EP-ITJ,EP-ITJ,Exact Match,Match,100
NUEVA ATUNERA TRITON S.A. DE C.V.,NUEVA ATUNERA TRITON S.A. DE C.V.,Exact Match,Match,100
"LI, Hong Ri","LI, Hong Ri",Exact Match,Match,100
MINERA RIO PRESIDIO S.A. DE C.V.,MINERA RIO PRESIDIO S.A. DE C.V.,Exact Match,Match,100
"ABD'RABBAH, Ghuma","ABD'RABBAH, Ghuma",Exact Match,Match,100
MITISHINSKIY SCIENTIFIC RESEARCH INSTITUTE OF RADIO MEASURING INSTRUMENTS,MITISHINSKIY SCIENTIFIC RESEARCH INSTITUTE OF RADIO MEASURING INSTRUMENTS,Exact Match,Match,100
"SAFDARI, Seyed Jaber","SAFDARI, Seyed Jaber",Exact Match,Match,100
"FLOREZ UPEGUI, Francisco Antonio","FLOREZ UPEGUI, Francisco Antonio",Exact Match,Match,100
"JADHRAN, Ibrahim","JADHRAN, Ibrahim",Exact Match,Match,100
AVANFORT OOO,AVANFORT OOO,Exact Match,Match,100
BENEATHCO DMCC,BENEATHCO DMCC,Exact Match,Match,100
CASA GRAJALES S.A.,CASA GRAJALES S.A.,Exact Match,Match,100
"SALMAN, Shadi","SALMAN, Shadi",Exact Match,Match,100
JOINT STOCK COMPANY RESEARCH AND DEVELOPMENT ENTERPRISE RADIOSVYAZ,JOINT STOCK COMPANY RESEARCH AND DEVELOPMENT ENTERPRISE RADIOSVYAZ,Exact Match,Match,100
CASTLE SECURITY AND PROTECTION LLC,CASTLE SECURITY AND PROTECTION LLC,Exact Match,Match,100
"ALEKSIN, Aliaksey Ivanavich","ALEKSIN, Aliaksey Ivanavich",Exact Match,Match,100
DINRIN LIMITED,DINRIN LIMITED,Exact Match,Match,100
"GONZALEZ VALENCIA, Elvis","GONZALEZ VALENCIA, Elvis",Exact Match,Match,100
"ASADOLLAH, Hossein","ASADOLLAH, Hossein",Exact Match,Match,100
IRAN AIRCRAFT MANUFACTURING INDUSTRIAL COMPANY,IRAN AIRCRAFT MANUFACTURING INDUSTRIAL COMPANY,Exact Match,Match,100
LAS FLORES CABANAS,LAS FLORES CABANAS,Exact Match,Match,100
A K EDUCAL S.A. EDUCACION CON CALIDAD,A K EDUCAL S.A. EDUCACION CON CALIDAD,Exact Match,Match,100
"PORTNOV, Andriy Volodymyrovych","PORTNOV, Andriy Volodymyrovych",Exact Match,Match,100
KALUGA RESEARCH INSTITUTE OF RADIO ENGINEERING JSC,KALUGA RESEARCH INSTITUTE OF RADIO ENGINEERING JSC,Exact Match,Match,100
"MAGUS HOLDING II, CORP.","MAGUS HOLDING II, CORP.",Exact Match,Match,100
"BASTARDO MENDOZA, Rafael Enrique","BASTARDO MENDOZA, Rafael Enrique",Exact Match,Match,100
CEIEC,CEIEC,Exact Match,Match,100
"ALI, Aous","ALI, Aous",Exact Match,Match,100
"FLORES APODACA, Panfilo","FLORES APODACA, Panfilo",Exact Match,Match,100
POST BANK OF IRAN,POST BANK OF IRAN,Exact Match,Match,100
EVIN PRISON,EVIN PRISON,Exact Match,Match,100
QARCHAK PRISON,QARCHAK PRISON,Exact Match,Match,100
"AMMOSOV, Petr Revoldovich","AMMOSOV, Petr Revoldovich",Exact Match,Match,100
BSQRD LIMITED,BSQRD LIMITED,Exact Match,Match,100
"MATALY, Mohamed Ould","MATALY, Mohamed Ould",Exact Match,Match,100
"MEZA OLIVARES, Alma Yanira","MEZA OLIVARES, Alma Yanira",Exact Match,Match,100
KHAVARMIANEH BANK,KHAVARMIANEH BANK,Exact Match,Match,100
"MOZGOVOY, Aleksey","MOZGOVOY, Aleksey",Exact Match,Match,100
"SLUTSKY, Leonid Eduardovich","SLUTSKY, Leonid Eduardovich",Exact Match,Match,100
SILVER BRIDGE SHIPPING CO-HKG,SILVER BRIDGE SHIPPING CO-HKG,Exact Match,Match,100
COAL TAR REFINING COMPANY,COAL TAR REFINING COMPANY,Exact Match,Match,100
DIMOND TRANSPORTATION LIMITED,DIMOND TRANSPORTATION LIMITED,Exact Match,Match,100
IPP OIL PRODUCTS (CYPRUS) LIMITED,IPP OIL PRODUCTS (CYPRUS) LIMITED,Exact Match,Match,100
"LAMEYKIN, Dmitriy Viktorovich","LAMEYKIN, Dmitriy Viktorovich",Exact Match,Match,100
"PASECHNIK, Leonid Ivanovich","PASECHNIK, Leonid Ivanovich",Exact Match,Match,100
AL-AJNIHAH,AL-AJNIHAH,Exact Match,Match,100
JM TROYA,JM TROYA,Exact Match,Match,100
MELON LTDA.,MELON LTDA.,Exact Match,Match,100
DONGHAI INTERNATIONAL SHIP MANAGEMENT LTD,DONGHAI INTERNATIONAL SHIP MANAGEMENT LTD,Exact Match,Match,100
"JAFARI, Mani","JAFARI, Mani",Exact Match,Match,100
"AURAMENKA, Aliaksei Mikalaevich","AURAMENKA, Aliaksei Mikalaevich",Exact Match,Match,100
"LEONOV, Sergey Dmitriyevich","LEONOV, Sergey Dmitriyevich",Exact Match,Match,100
PETROCHEM SOUTH EAST LTD,PETROCHEM SOUTH EAST LTD,Exact Match,Match,100
FLEURETTE ENERGY I B.V.,FLEURETTE ENERGY I B.V.,Exact Match,Match,100
"PANKINA, Irina Aleksandrovna","PANKINA, Irina Aleksandrovna",Exact Match,Match,100
"SUBAYTI, Wahid Mahmud","SUBAYTI, Wahid Mahmud",Exact Match,Match,100
"AL-TABBAL, Saba","AL-TABBAL, Saba",Exact Match,Match,100
MARA,MARA,Exact Match,Match,100
"KOKOREV, Alexander Aleksandrovich","KOKOREV, Alexander Aleksandrovich",Exact Match,Match,100
"PIEDRAHITA CASTILLO, Andres","PIEDRAHITA CASTILLO, Andres",Exact Match,Match,100
GASRET ALIEV,GASRET ALIEV,Exact Match,Match,100
"MELNICHENKO, Andrey Igorevich","MELNICHENKO, Andrey Igorevich",Exact Match,Match,100
"FERNANDEZ FLAQUER, Kelvin Enrique","FERNANDEZ FLAQUER, Kelvin Enrique",Exact Match,Match,100
SAMANE GOSTAR SAHAB PARDAZ PRIVATE LIMITED COMPANY,SAMANE GOSTAR SAHAB PARDAZ PRIVATE LIMITED COMPANY,Exact Match,Match,100
"PTITSYN, Roman Viktorovich","PTITSYN, Roman Viktorovich",Exact Match,Match,100
TAMBEY,TAMBEY,Exact Match,Match,100
"RUBENACH ROIG, Juan Luis","RUBENACH ROIG, Juan Luis",Exact Match,Match,100
MSN 550,MSN 550,Exact Match,Match,100
PUBLIC JOINT STOCK COMPANY SBERBANK OF RUSSIA,PUBLIC JOINT STOCK COMPANY SBERBANK OF RUSSIA,Exact Match,Match,100
"FC GRUPO EMPRESARIAL, S.A. DE C.V.","FC GRUPO EMPRESARIAL, S.A. DE C.V.",Exact Match,Match,100
"BUITRAGO PARADA, Hector German","BUITRAGO PARADA, Hector German",Exact Match,Match,100
"MPANO, Douglas","MPANO, Douglas",Exact Match,Match,100
INTERNATIONAL TANKER LIMITED,INTERNATIONAL TANKER LIMITED,Exact Match,Match,100
"RIDA, Batoul","RIDA, Batoul",Exact Match,Match,100
"LOPEZ OSPINA, Carlos Antonio","LOPEZ OSPINA, Carlos Antonio",Exact Match,Match,100
"YE, Theit Thinzar","YE, Theit Thinzar",Exact Match,Match,100
"BORISOVA, Natalya Vladimirovna","BORISOVA, Natalya Vladimirovna",Exact Match,Match,100
"SALIM, Muhammad Ayman Nasir-al-Din","SALIM, Muhammad Ayman Nasir-al-Din",Exact Match,Match,100
IRANIAN OIL PIPELINES AND TELECOMMUNICATION CO.,IRANIAN OIL PIPELINES AND TELECOMMUNICATION CO.,Exact Match,Match,100
"YAMPOLSKAYA, Elena Alexandrovna","YAMPOLSKAYA, Elena Alexandrovna",Exact Match,Match,100
"ZADEH, Salar Mahmoud","ZADEH, Salar Mahmoud",Exact Match,Match,100
PALESTINIAN MARTYRS FOUNDATION,PALESTINIAN MARTYRS FOUNDATION,Exact Match,Match,100
PASSAT,PASSAT,Exact Match,Match,100
SOCIEDAD SUPERDEPORTES LTDA.,SOCIEDAD SUPERDEPORTES LTDA.,Exact Match,Match,100
"MUHAMMAD, Hayat Ullah Ghulam","MUHAMMAD, Hayat Ullah Ghulam",Exact Match,Match,100
"ZHURAVLEV, Nikolai Andreyevich","ZHURAVLEV, Nikolai Andreyevich",Exact Match,Match,100
"HARB, Mustafa Habib","HARB, Mustafa Habib",Exact Match,Match,100
"MARKHAYEV, Vyacheslav Mikhaylovich","MARKHAYEV, Vyacheslav Mikhaylovich",Exact Match,Match,100
"SON, Mun San","SON, Mun San",Exact Match,Match,100
"GLADKIKH, Boris Mikhaylovich","GLADKIKH, Boris Mikhaylovich",Exact Match,Match,100
"EBRAHIMZADEH, Mahdi","EBRAHIMZADEH, Mahdi",Exact Match,Match,100
HARAKAT UL-MUJAHIDEEN,HARAKAT UL-MUJAHIDEEN,Exact Match,Match,100
"AL MAZIDIH, Badran Turki Hishan","AL MAZIDIH, Badran Turki Hishan",Exact Match,Match,100
SOVREMENNYE TEKHNOLOGII LIMITED LIABILITY COMPANY,SOVREMENNYE TEKHNOLOGII LIMITED LIABILITY COMPANY,Exact Match,Match,100
HUMANITY,HUMANITY,Exact Match,Match,100
ZULEKHA GENERAL TRADING LLC,ZULEKHA GENERAL TRADING LLC,Exact Match,Match,100
"'ABD AL-NASIR, Hajji","'ABD AL-NASIR, Hajji",Exact Match,Match,100
ZARDIS,ZARDIS,Exact Match,Match,100
HEDY,HEDY,Exact Match,Match,100
ESTACION DE SERVICIO LA TURQUESA,ESTACION DE SERVICIO LA TURQUESA,Exact Match,Match,100
PROGLAN CAPITAL LTD,PROGLAN CAPITAL LTD,Exact Match,Match,100
"CHO, Il-U","CHO, Il-U",Exact Match,Match,100
"ANUFRIYEVA, Olga Nikolayevna","ANUFRIYEVA, Olga Nikolayevna",Exact Match,Match,100
"NORIEGA FIGUEROA, Jose Gregorio","NORIEGA FIGUEROA, Jose Gregorio",Exact Match,Match,100
"PLANET 2 REACHING, INC.","PLANET 2 REACHING, INC.",Exact Match,Match,100
JOINT STOCK COMPANY CENTRAL DESIGN BUREAU OF AUTOMATICS,JOINT STOCK COMPANY CENTRAL DESIGN BUREAU OF AUTOMATICS,Exact Match,Match,100
"KIRIYENKO, Sergei Vladilenovich","KIRIYENKO, Sergei Vladilenovich",Exact Match,Match,100
INTERCONTINENTAL DE AVIACION S.A.,INTERCONTINENTAL DE AVIACION S.A.,Exact Match,Match,100
SIAM NICE COMPANY LTD.,SIAM NICE COMPANY LTD.,Exact Match,Match,100
"HOTELERA MUNDIAL, S.A.","HOTELERA MUNDIAL, S.A.",Exact Match,Match,100
PERSIA INTERNATIONAL BANK PLC,PERSIA INTERNATIONAL BANK PLC,Exact Match,Match,100
PIRUSETI ENTERPRISES LTD,PIRUSETI ENTERPRISES LTD,Exact Match,Match,100
CUBAEXPORT,CUBAEXPORT,Exact Match,Match,100
"SIRHAN, Hala","SIRHAN, Hala",Exact Match,Match,100
"KIM, Sang-ho","KIM, Sang-ho",Exact Match,Match,100
"CONTE, Ousmane","CONTE, Ousmane",Exact Match,Match,100
ABADAN OIL REFINING COMPANY,ABADAN OIL REFINING COMPANY,Exact Match,Match,100
PARS GHA'EM GOSTAR,PARS GHA'EM GOSTAR,Exact Match,Match,100
"TSANG, Erick","TSANG, Erick",Exact Match,Match,100
AO NII VEKTOR,AO NII VEKTOR,Exact Match,Match,100
SHAHID FAKHAR MOGHADDAM GROUP,SHAHID FAKHAR MOGHADDAM GROUP,Exact Match,Match,100
"AKIMOV, Alexander Konstantinovich","AKIMOV, Alexander Konstantinovich",Exact Match,Match,100
LIMITED LIABILITY COMPANY RSB-GROUP,LIMITED LIABILITY COMPANY RSB-GROUP,Exact Match,Match,100
TURIRA COMPANY,TURIRA COMPANY,Exact Match,Match,100
"SALIH AL HASANI, Mohammed Hussein","SALIH AL HASANI, Mohammed Hussein",Exact Match,Match,100
YU SON,YU SON,Exact Match,Match,100
"KACHANAVA, Natallia Ivanauna","KACHANAVA, Natallia Ivanauna",Exact Match,Match,100
VIDA PANAMA (ZONA LIBRE) S.A.,VIDA PANAMA (ZONA LIBRE) S.A.,Exact Match,Match,100
P4-MIS,P4-MIS,Exact Match,Match,100
"BA'ASYIR, Abdul Rosyid Ridho","BA'ASYIR, Abdul Rosyid Ridho",Exact Match,Match,100
YV2738,YV2738,Exact Match,Match,100
HANA ELECTRONICS JVC,HANA ELECTRONICS JVC,Exact Match,Match,100
"FARKASH, Safia","FARKASH, Safia",Exact Match,Match,100
LLC SYNESIS,LLC SYNESIS,Exact Match,Match,100
CH'OLHYO'N OVERSEAS CONSTRUCTION COMPANY,CH'OLHYO'N OVERSEAS CONSTRUCTION COMPANY,Exact Match,Match,100
SINA CURRENCY EXCHANGE COMPANY,SINA CURRENCY EXCHANGE COMPANY,Exact Match,Match,100
D.G.D. INVESTMENTS LTD.,D.G.D. INVESTMENTS LTD.,Exact Match,Match,100
"CASTANEDA MENDEZ, Jose Antonio","CASTANEDA MENDEZ, Jose Antonio",Exact Match,Match,100
P-835,P-835,Exact Match,Match,100
T.M.G. ENGINEERING LIMITED,T.M.G. ENGINEERING LIMITED,Exact Match,Match,100
ARAB PETROLEUM ENGINEERING COMPANY LTD,ARAB PETROLEUM ENGINEERING COMPANY LTD,Exact Match,Match,100
"HUSAIN, Ali Saleh","HUSAIN, Ali Saleh",Exact Match,Match,100
"SHUKR, Fu'ad","SHUKR, Fu'ad",Exact Match,Match,100
INVERSIONES ZANZIBAR SOCIEDAD ANONIMA,INVERSIONES ZANZIBAR SOCIEDAD ANONIMA,Exact Match,Match,100
"KAJMAKOVIC, Diana","KAJMAKOVIC, Diana",Exact Match,Match,100
"TRIFONOV, Andrey Fedorovich","TRIFONOV, Andrey Fedorovich",Exact Match,Match,100
"USMAN, Bachrumsyah Mennor","USMAN, Bachrumsyah Mennor",Exact Match,Match,100
"JAROSH, Petr Grigorievich","JAROSH, Petr Grigorievich",Exact Match,Match,100
"KRECHETOV, Andrei Alexandrovich","KRECHETOV, Andrei Alexandrovich",Exact Match,Match,100
BITRIVER AG,BITRIVER AG,Exact Match,Match,100
TARDIGRADE LIMITED,TARDIGRADE LIMITED,Exact Match,Match,100
"DEDOV, Mikhail Aleksandrovich","DEDOV, Mikhail Aleksandrovich",Exact Match,Match,100
BUL PARTNERS TRAVEL OOD,BUL PARTNERS TRAVEL OOD,Exact Match,Match,100
"SIMIC, Blagoje","SIMIC, Blagoje",Exact Match,Match,100
BANCO CENTRAL DE VENEZUELA,BANCO CENTRAL DE VENEZUELA,Exact Match,Match,100
"KALIMULLIN, Rustam Galiullovich","KALIMULLIN, Rustam Galiullovich",Exact Match,Match,100
"CABRERA SARABIA, Alejandro","CABRERA SARABIA, Alejandro",Exact Match,Match,100
GARCES Y BEDOYA CIA. LTDA,GARCES Y BEDOYA CIA. LTDA,Exact Match,Match,100
"AZIMIAN, Hamidreza","AZIMIAN, Hamidreza",Exact Match,Match,100
"ROTENBERG, Karina Yurevna","ROTENBERG, Karina Yurevna",Exact Match,Match,100
"URDINOLA ALVAREZ, Hector Mario","URDINOLA ALVAREZ, Hector Mario",Exact Match,Match,100
"MOLOSTOV, Konstantin Gennadievich","MOLOSTOV, Konstantin Gennadievich",Exact Match,Match,100
ROYAL AFRICA CAPITAL HOLDING LTD,ROYAL AFRICA CAPITAL HOLDING LTD,Exact Match,Match,100
"DARWISH, Samir Sakhir","DARWISH, Samir Sakhir",Exact Match,Match,100
BANK SEPAH,BANK SEPAH,Exact Match,Match,100
"TATES DESARROLLO, S.A. DE C.V.","TATES DESARROLLO, S.A. DE C.V.",Exact Match,Match,100
"STANKEVICH, Sergey","STANKEVICH, Sergey",Exact Match,Match,100
"SHABAN, Adib","SHABAN, Adib",Exact Match,Match,100
"CHAYKA, Yuriy Yakovlevich","CHAYKA, Yuriy Yakovlevich",Exact Match,Match,100
VENTSPILS ATTISTIBAS AGENTURA,VENTSPILS ATTISTIBAS AGENTURA,Exact Match,Match,100
"RAZVOROTNEVA, Svetlana Victorovna","RAZVOROTNEVA, Svetlana Victorovna",Exact Match,Match,100
"REVEROL TORRES, Nestor Luis","REVEROL TORRES, Nestor Luis",Exact Match,Match,100
"JUNDIYAH, Abdallah","JUNDIYAH, Abdallah",Exact Match,Match,100
"WAN MIN, Wan Mat","WAN MIN, Wan Mat",Exact Match,Match,100
"SILUANOV, Anton Germanovich","SILUANOV, Anton Germanovich",Exact Match,Match,100
"KHAN, Hizb Ullah Astam","KHAN, Hizb Ullah Astam",Exact Match,Match,100
TRANS GAZELLE,TRANS GAZELLE,Exact Match,Match,100
"NIKONOROVA, Natalya Yurievna","NIKONOROVA, Natalya Yurievna",Exact Match,Match,100
SNOW,SNOW,Exact Match,Match,100
"MARIJANOVIC, Milovan","MARIJANOVIC, Milovan",Exact Match,Match,100
"RI, Thae Chol","RI, Thae Chol",Exact Match,Match,100
"MESRI, Behzad","MESRI, Behzad",Exact Match,Match,100
"AL-SAD'UN, Abd-al-Baqi abd-al-Karim Abdallah","AL-SAD'UN, Abd-al-Baqi abd-al-Karim Abdallah",Exact Match,Match,100
EP-IBG,EP-IBG,Exact Match,Match,100
ROMIK S.A.,ROMIK S.A.,Exact Match,Match,100
"ACOSTA SERNA, Oscar Alonso","ACOSTA SERNA, Oscar Alonso",Exact Match,Match,100
"TALEBZADEH, Zeinab Mehanna","TALEBZADEH, Zeinab Mehanna",Exact Match,Match,100
PETROKICK LLC,PETROKICK LLC,Exact Match,Match,100
CAROIL TRANSPORT MARINE LTD,CAROIL TRANSPORT MARINE LTD,Exact Match,Match,100
"SA'ID, Mohamed","SA'ID, Mohamed",Exact Match,Match,100
"TERESHKOVA, Valentina Vladimirovna","TERESHKOVA, Valentina Vladimirovna",Exact Match,Match,100
"BALABA, Dzmitriy Uladzimiravich","BALABA, Dzmitriy Uladzimiravich",Exact Match,Match,100
PAYA PARTOV CO.,PAYA PARTOV CO.,Exact Match,Match,100
THAE PYONG SAN,THAE PYONG SAN,Exact Match,Match,100
"RK BRIZ, OOO","RK BRIZ, OOO",Exact Match,Match,100
"HADDAD-ADEL, Gholamali","HADDAD-ADEL, Gholamali",Exact Match,Match,100
RAZAVI INFORMATION AND COMMUNICATION TECHNOLOGY CO.,RAZAVI INFORMATION AND COMMUNICATION TECHNOLOGY CO.,Exact Match,Match,100
"ZLITNI, Abdulhafid","ZLITNI, Abdulhafid",Exact Match,Match,100
"BLANCO PUERTA, Edgar Fernando","BLANCO PUERTA, Edgar Fernando",Exact Match,Match,100
"RYMASHEUSKI, Aliaksei Ivanavich","RYMASHEUSKI, Aliaksei Ivanavich",Exact Match,Match,100
NIOC INTERNATIONAL AFFAIRS (LONDON) LIMITED,NIOC INTERNATIONAL AFFAIRS (LONDON) LIMITED,Exact Match,Match,100
YV2850,YV2850,Exact Match,Match,100
"VASHKEVICH, Vladimir Vladimirovich","VASHKEVICH, Vladimir Vladimirovich",Exact Match,Match,100
CONFECCIONES LINA MARIA LTDA.,CONFECCIONES LINA MARIA LTDA.,Exact Match,Match,100
"EVENTOS LA MORA, S.A. DE C.V.","EVENTOS LA MORA, S.A. DE C.V.",Exact Match,Match,100
"AL-ARURI, Salih","AL-ARURI, Salih",Exact Match,Match,100
KAMAZ PUBLICLY TRADED COMPANY,KAMAZ PUBLICLY TRADED COMPANY,Exact Match,Match,100
"AHMADI, Rahim","AHMADI, Rahim",Exact Match,Match,100
QINGDAO CONSTRUCTION (NAMIBIA) CC,QINGDAO CONSTRUCTION (NAMIBIA) CC,Exact Match,Match,100
LENPROMTRANSPROYEKT,LENPROMTRANSPROYEKT,Exact Match,Match,100
"PLOTNIKOV, Vladimir Nikolayevich","PLOTNIKOV, Vladimir Nikolayevich",Exact Match,Match,100
"ZAVALNY, Pavel Nikolaevich","ZAVALNY, Pavel Nikolaevich",Exact Match,Match,100
CENTRAL BANK OF THE DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,CENTRAL BANK OF THE DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA,Exact Match,Match,100
SOVKOM FAKTORING,SOVKOM FAKTORING,Exact Match,Match,100
"BESSARAB, Svetlana Viktorovna","BESSARAB, Svetlana Viktorovna",Exact Match,Match,100
JAMIA ASARIYA MADRASSA,JAMIA ASARIYA MADRASSA,Exact Match,Match,100
VIC DEL INC. (OFF SHORE),VIC DEL INC. (OFF SHORE),Exact Match,Match,100
"CABELLO RONDON, Jose David","CABELLO RONDON, Jose David",Exact Match,Match,100
"TRY PHEAP OYADAV S E Z CO., LTD.","TRY PHEAP OYADAV S E Z CO., LTD.",Exact Match,Match,100
"KISELEV, Mikhail Sergeyevich","KISELEV, Mikhail Sergeyevich",Exact Match,Match,100
"NAJIB, Ahmad","NAJIB, Ahmad",Exact Match,Match,100
"BARAKZAI, Haji Abdul Sattar","BARAKZAI, Haji Abdul Sattar",Exact Match,Match,100
"KOVAC, Tomislav","KOVAC, Tomislav",Exact Match,Match,100
"HASSAN, Basil","HASSAN, Basil",Exact Match,Match,100
"FLORES CASTRO, Sendy","FLORES CASTRO, Sendy",Exact Match,Match,100
"SEPULVEDA PORTILLO, Obed Christian","SEPULVEDA PORTILLO, Obed Christian",Exact Match,Match,100
"SUN, Wei","SUN, Wei",Exact Match,Match,100
"ARAFA, Ahmed Ibrahim Hassan Ahmed","ARAFA, Ahmed Ibrahim Hassan Ahmed",Exact Match,Match,100
"NARUSOVA, Lyudmila Borisovna","NARUSOVA, Lyudmila Borisovna",Exact Match,Match,100
"POTEKHIN, Danil","POTEKHIN, Danil",Exact Match,Match,100
